job_id,arrival_time,duration,res_0,res_1
0,0,2,2,2
1,0,10,3,2
2,0,2,1,1
3,0,4,1,1
4,0,8,6,6
5,0,2,2,1
6,0,2,1,1
7,0,4,1,1
8,0,3,1,1
9,0,11,2,2
10,0,1,2,2
11,0,6,4,4
12,0,7,6,5
13,0,7,5,5
14,0,4,1,1
15,0,3,1,1
16,0,2,2,2
17,0,3,1,1
18,0,3,1,1
19,0,3,2,1
20,0,4,1,2
21,0,4,1,1
22,0,1,1,1
23,0,4,1,1
24,0,3,2,2
25,0,2,1,2
26,0,2,2,2
27,0,3,1,1
28,0,4,2,1
29,0,3,2,1
30,0,4,2,1
31,0,4,1,2
32,0,4,2,2
33,0,4,1,2
34,0,1,1,1
35,0,4,2,3
36,0,3,2,2
37,0,2,2,2
38,0,4,1,1
39,0,3,2,2
40,0,2,2,2
41,0,4,1,1
42,0,4,2,1
43,0,3,2,2
44,0,1,2,2
45,0,2,1,1
46,0,3,2,1
47,0,4,1,1
48,0,2,1,1
49,0,1,1,1
50,0,3,2,1
51,0,4,1,1
52,0,4,1,1
53,0,2,2,2
54,0,3,1,1
55,0,2,2,2
56,0,1,2,2
57,0,1,2,2
58,0,1,1,1
59,0,1,1,1
60,0,4,2,1
61,0,4,1,1
62,0,3,2,2
63,0,4,2,2
64,0,2,2,1
65,0,3,2,2
66,0,3,2,2
67,0,3,2,2
68,0,3,2,2
69,0,1,2,1
70,0,4,1,1
71,0,1,1,1
72,0,1,1,1
73,0,2,1,1
74,0,4,1,1
75,0,2,1,1
76,0,4,2,2
77,0,3,1,1
78,0,1,2,2
79,0,4,2,2
80,0,3,2,3
81,0,2,2,1
82,0,2,1,1
83,0,2,2,2
84,0,3,2,2
85,0,1,1,1
86,0,3,1,1
87,0,3,1,1
88,0,2,2,3
89,0,3,1,1
90,0,3,1,1
91,0,2,1,1
92,0,2,1,1
93,0,1,1,1
94,0,3,1,1
95,0,3,2,3
96,0,1,2,2
97,0,2,2,2
98,0,1,2,2
99,0,4,2,2
100,0,3,2,1
101,0,1,2,2
102,0,11,6,6
103,0,8,6,4
104,0,11,3,2
105,0,4,2,2
106,0,7,4,5
107,0,7,2,1
108,0,4,5,3
109,0,3,1,1
110,0,5,3,2
111,0,3,1,1
112,0,4,1,1
113,0,4,2,1
114,0,3,1,1
115,0,11,5,4
116,0,4,2,2
117,0,1,2,2
118,0,2,2,2
119,0,2,2,2
120,0,3,2,2
121,0,1,1,1
122,0,2,1,1
123,0,2,2,2
124,0,2,1,1
125,0,4,2,2
126,0,3,2,2
127,0,4,1,2
128,0,3,1,1
129,0,2,1,1
130,0,3,1,1
131,0,1,1,1
132,0,1,1,1
133,0,3,2,2
134,0,4,1,1
135,0,3,2,2
136,0,10,1,2
137,0,1,1,1
138,0,4,1,1
139,0,3,1,1
140,0,1,2,2
141,0,4,1,1
142,0,4,2,2
143,0,1,1,1
144,0,4,2,2
145,0,4,2,2
146,0,9,5,5
147,0,1,1,1
148,0,13,2,2
149,0,1,1,1
150,0,1,2,2
151,0,1,1,1
152,0,4,1,1
153,0,1,2,2
154,0,2,2,2
155,0,4,1,1
156,0,4,1,2
157,0,1,1,1
158,0,3,2,2
159,0,1,2,1
160,0,1,2,2
161,0,3,2,2
162,0,3,2,2
163,0,1,2,2
164,0,1,2,2
165,0,14,2,3
166,0,12,5,4
167,0,2,2,1
168,0,1,2,2
169,0,6,5,5
170,0,1,2,2
171,0,4,2,1
172,0,1,1,1
173,0,2,2,2
174,0,10,4,4
175,0,4,2,2
176,0,1,2,3
177,0,2,2,3
178,0,3,2,1
179,0,1,1,1
180,0,3,2,2
181,0,13,3,3
182,0,9,2,2
183,0,1,2,1
184,0,4,1,1
185,0,3,2,2
186,0,4,1,1
187,0,1,2,1
188,0,3,1,1
189,0,1,2,2
190,0,3,1,1
191,0,3,2,1
192,0,4,1,1
193,0,4,2,1
194,0,9,1,1
195,0,14,3,3
196,0,8,5,4
197,0,3,2,2
198,0,3,2,2
199,0,2,2,3
200,0,14,3,4
201,0,4,2,2
202,0,9,1,1
203,0,11,3,4
204,0,11,1,1
205,0,1,2,1
206,0,3,2,2
207,0,3,2,2
208,0,1,2,3
209,0,4,1,1
210,0,3,2,2
211,0,2,1,1
212,0,1,2,2
213,0,4,2,2
214,0,1,1,1
215,0,3,2,1
216,0,1,2,1
217,0,1,1,1
218,0,1,2,2
219,0,2,1,1
220,0,4,1,1
221,0,3,1,1
